sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:6415808	Melaspilea epigraphella	RO_0002444	parasite of	EOL:6548938	Acanthothecis consocians							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
	Dactylospora acarospora	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:18338831	Sclerococcum acarosporae	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6627517	Stigmidium epixanthum	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6522400	Weddellomyces turcicus	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
	Zwackhiomyces argentinae	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:18390810	Zwackhiomyces cervinae	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6659785	Lichenostigma subradians	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
	Lecidea grumannii	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:245086	Endococcus stigma	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:42852046	Arthonia ayseniae	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6638215	Acarospora epithallina	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6638340	Acarospora microcarpa	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6522069	Polycoccum microstictum	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:8570213	Acaroconium punctiforme	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:2860276	Caloplaca epithallina	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6555523	Rhizocarpon rapax	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6605503	Caloplaca inconnexa	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:18172615	Lichenostigma anatolicum	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:18384061	Sarcopyrenia gibba	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:18282600	Polysporina subfuscescens	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6637889	Polysporina pusilla	RO_0002444	parasite of	EOL:22788	Acarospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6627536	Stigmidium rouxianum	RO_0002444	parasite of	EOL:196652	Acarospora cervina							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:18172613	Lichenostigma svandae	RO_0002444	parasite of	EOL:196652	Acarospora cervina							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:18156740	Polycoccum acarosporicola	RO_0002444	parasite of	EOL:196652	Acarospora cervina							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:18353500	Llimoniella fuscatae 	RO_0002444	parasite of	EOL:1015709	Acarospora fuscata							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:1031203	Stigmidium fuscatae	RO_0002444	parasite of	EOL:1015709	Acarospora fuscata							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:37211561	Lichenostigma gracile	RO_0002444	parasite of	EOL:1015709	Acarospora fuscata							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6498030	Bellemerella acarosporae	RO_0002444	parasite of	EOL:1015709	Acarospora fuscata							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:198363	Adelococcus alpestris	RO_0002444	parasite of	EOL:196656	Acarospora glaucocarpa							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:198363	Adelococcus alpestris	RO_0002444	parasite of	EOL:1009876	Acarospora macrospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:42812351	Wernerella acarosporae	RO_0002444	parasite of	EOL:196660	Acarospora nodulosa							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6544747	Llimoniella scabridula	RO_0002444	parasite of	EOL:196660	Acarospora nodulosa							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:2860519	Acarospora interjecta	RO_0002444	parasite of	EOL:6638370	Acarospora novomexicana							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6544747	Llimoniella scabridula	RO_0002444	parasite of	EOL:6638404	Acarospora placodiiformis							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:6627562	Sphaerellothecium gowardii	RO_0002444	parasite of	EOL:2860542	Acarospora schleicheri							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:42746767	Llimoniella acarosporicola 	RO_0002444	parasite of	EOL:2860546	Acarospora socialis							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:42845512	Heteroplacidium transmutans	RO_0002444	parasite of	EOL:2860546	Acarospora socialis							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
EOL:35427072	Myriospora hassei	RO_0002444	parasite of	EOL:2860546	Acarospora socialis							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
	Lichenothelia spiralispora	RO_0002444	parasite of	EOL:6638475	Acarospora sphaerospora							Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].
	
